 Position.x[m] Position.y[m]
385000000.0000000000 0.0000000000
384999999.9445989728 6531.3709996867
384999999.7783957720 13062.7419974937
384999999.5013905764 19594.1129915413
384999999.1135832667 26125.4839799497
384999998.6149737835 32656.8549608393
384999998.0055622458 39188.2259323303
384999997.2853486538 45719.5968925431
384999996.4543328881 52250.9678395978
384999995.5125151277 58782.3387716148
384999994.4598951936 65313.7096867145
384999993.2964732051 71845.0805830169
384999992.0222491026 78376.4514586426
384999990.6372228861 84907.8223117117
384999989.1413946152 91439.1931403445
384999987.5347642303 97970.5639426613
384999985.8173317313 104501.9347167824
384999983.9890971780 111033.3054608281
384999982.0500605106 117564.6761729187
384999980.0002217293 124096.0468511745
384999977.8395809531 130627.4174937157
384999975.5681380033 137158.7880986626
384999973.1858929396 143690.1586641356
384999970.6928458214 150221.5291882548
384999968.0889966488 156752.8996691407
384999965.3743453622 163284.2701049135
384999962.5488919616 169815.6404936934
384999959.6126365066 176347.0108336008
384999956.5655789971 182878.3811227559
384999953.4077193737 189409.7513592790
384999950.1390576959 195941.1215412905
384999946.7595939040 202472.4916669105
384999943.2693279982 209003.8617342595
384999939.6682600379 215535.2317414577
384999935.9563900232 222066.6016866253
384999932.1337178946 228597.9715678827
384999928.2002437115 235129.3413833501
384999924.1559674740 241660.7111311478
384999920.0008891225 248192.0808093962
384999915.7350087166 254723.4504162154
384999911.3583262563 261254.8199497258
384999906.8708416820 267786.1894080478
384999902.2725550532 274317.5587893014
384999897.5634663701 280848.9280916072
384999892.7435755730 287380.2973130852
384999887.8128827810 293911.6664518559
384999882.7713878751 300443.0355060395
384999877.6190909147 306974.4044737563
384999872.3559919000 313505.7733531266
384999866.9820908308 320037.1421422706
384999861.4973877072 326568.5108393088
384999855.9018825293 333099.8794423613
384999850.1955752969 339631.2479495484
384999844.3784660101 346162.6163589904
384999838.4505546689 352693.9846688077
384999832.4118412733 359225.3528771204
384999826.2623258233 365756.7209820490
384999820.0020083189 372288.0889817135
384999813.6308887601 378819.4568742345
384999807.1489672065 385350.8246577322
384999800.5562435985 391882.1923303267
384999793.8527179360 398413.5598901384
384999787.0383902192 404944.9273352877
384999780.1132605076 411476.2946638949
384999773.0773287416 418007.6618740800
384999765.9305949211 424539.0289639636
384999758.6730591059 431070.3959316658
384999751.3047212362 437601.7627753070
384999743.8255813718 444133.1294930074
384999736.2356394529 450664.4960828872
