 Position.x[m] Position.z[m]
385000000.0000000000 0.0000000000
384999999.9999863505 102.4816100000
384999999.9999454618 204.9632200000
384999999.9998772144 307.4448300000
384999999.9997817278 409.9264399999
384999999.9996590018 512.4080499998
384999999.9995089769 614.8896599997
384999999.9993316531 717.3712699996
384999999.9991270304 819.8528799994
384999999.9988952279 922.3344899991
384999999.9986360669 1024.8160999988
384999999.9983496070 1127.2977099984
384999999.9980359077 1229.7793199979
384999999.9976949096 1332.2609299973
384999999.9973266721 1434.7425399967
384999999.9969310760 1537.2241499959
384999999.9965083003 1639.7057599950
384999999.9960581660 1742.1873699941
384999999.9955807924 1844.6689799929
384999999.9950761199 1947.1505899917
384999999.9945441484 2049.6321999903
384999999.9939849377 2152.1138099888
384999999.9933984280 2254.5954199871
384999999.9927846789 2357.0770299853
384999999.9921435714 2459.5586399833
384999999.9914752841 2562.0402499811
384999999.9907796383 2664.5218599787
384999999.9900567532 2767.0034699762
384999999.9893065691 2869.4850799734
384999999.9885291457 2971.9666899705
384999999.9877243638 3074.4482999673
384999999.9868924022 3176.9299099639
384999999.9860330820 3279.4115199603
384999999.9851464629 3381.8931299565
384999999.9842326641 3484.3747399524
384999999.9832915068 3586.8563499481
384999999.9823231101 3689.3379599435
384999999.9813274145 3791.8195699387
384999999.9803044200 3894.3011799336
384999999.9792541862 3996.7827899282
384999999.9781766534 4099.2643999225
384999999.9770718813 4201.7460099166
384999999.9759397507 4304.2276199103
384999999.9747803807 4406.7092299038
384999999.9735937715 4509.1908398969
384999999.9723798037 4611.6724498897
384999999.9711386561 4714.1540598822
384999999.9698701501 4816.6356698744
384999999.9685744047 4919.1172798662
384999999.9672513604 5021.5988898576
384999999.9659010768 5124.0804998487
384999999.9645234346 5226.5621098395
384999999.9631185532 5329.0437198298
384999999.9616863728 5431.5253298198
384999999.9602269530 5534.0069398094
384999999.9587402344 5636.4885497986
384999999.9572262764 5738.9701597875
384999999.9556849599 5841.4517697759
384999999.9541164041 5943.9333797639
384999999.9525206089 6046.4149897514
384999999.9508975148 6148.8965997386
384999999.9492471218 6251.3782097253
384999999.9475694299 6353.8598197116
384999999.9458644986 6456.3414296974
384999999.9441322684 6558.8230396827
384999999.9423727393 6661.3046496676
384999999.9405859709 6763.7862596521
384999999.9387719035 6866.2678696360
384999999.9369305372 6968.7494796195
384999999.9350619316 7071.2310896024
384999999.9331660271 7173.7126995849
384999999.9312428236 7276.1943095668
384999999.9292923808 7378.6759195483
384999999.9273146391 7481.1575295292
384999999.9253096581 7583.6391395096
384999999.9232773185 7686.1207494894
384999999.9212177396 7788.6023594687
384999999.9191308618 7891.0839694475
384999999.9170167446 7993.5655794257
384999999.9148753285 8096.0471894033
384999999.9127066731 8198.5287993804
384999999.9105107188 8301.0104093568
384999999.9082874656 8403.4920193327
384999999.9060369134 8505.9736293080
384999999.9037591219 8608.4552392827
384999999.9014540315 8710.9368492568
384999999.8991216421 8813.4184592302
384999999.8967619538 8915.9000692031
384999999.8943750262 9018.3816791753
384999999.8919608593 9120.8632891468
384999999.8895193934 9223.3448991178
384999999.8870505691 9325.8265090880
384999999.8845545650 9428.3081190576
384999999.8820312619 9530.7897290266
384999999.8794806004 9633.2713389948
384999999.8769027591 9735.7529489624
384999999.8742975593 9838.2345589293
384999999.8716651797 9940.7161688955
384999999.8690054417 10043.1977788609
384999999.8663184047 10145.6793888257
384999999.8636041284 10248.1609987898
384999999.8608625531 10350.6426087531
384999999.8580937982 10453.1242187157
384999999.8552976847 10555.6058286776
384999999.8524742126 10658.0874386387
384999999.8496235609 10760.5690485990
384999999.8467456102 10863.0506585586
384999999.8438404202 10965.5322685174
384999999.8409078717 11068.0138784755
384999999.8379480839 11170.4954884327
384999999.8349610567 11272.9770983892
384999999.8319466710 11375.4587083449
384999999.8289050460 11477.9403182997
384999999.8258361220 11580.4219282538
384999999.8227399588 11682.9035382070
384999999.8196164966 11785.3851481594
384999999.8164657354 11887.8667581110
384999999.8132877350 11990.3483680617
384999999.8100824356 12092.8299780116
384999999.8068498373 12195.3115879606
384999999.8035899997 12297.7931979087
384999999.8003028035 12400.2748078560
384999999.7969884276 12502.7564178024
384999999.7936466932 12605.2380277479
384999999.7902777195 12707.7196376926
384999999.7868815064 12810.2012476363
384999999.7834579349 12912.6828575791
384999999.7800071239 13015.1644675210
384999999.7765290737 13117.6460774620
384999999.7730236650 13220.1276874020
384999999.7694910169 13322.6092973411
384999999.7659310699 13425.0909072793
384999999.7623438835 13527.5725172165
384999999.7587293983 13630.0541271528
384999999.7550876141 13732.5357370881
384999999.7514185309 13835.0173470224
384999999.7477222085 13937.4989569557
384999999.7439985871 14039.9805668881
384999999.7402477264 14142.4621768195
384999999.7364695668 14244.9437867498
384999999.7326641083 14347.4253966792
384999999.7288314104 14449.9070066075
384999999.7249714136 14552.3886165348
384999999.7210841179 14654.8702264611
384999999.7171695828 14757.3518363863
384999999.7132277489 14859.8334463105
384999999.7092586160 14962.3150562336
384999999.7052621841 15064.7966661557
384999999.7012385130 15167.2782760767
384999999.6971876025 15269.7598859966
384999999.6931093335 15372.2414959155
384999999.6890038252 15474.7231058333
384999999.6848710179 15577.2047157499
384999999.6807109714 15679.6863256655
384999999.6765235662 15782.1679355800
384999999.6723089814 15884.6495454933
384999999.6680670977 15987.1311554055
384999999.6637978554 16089.6127653166
384999999.6595013738 16192.0943752265
384999999.6551776528 16294.5759851353
384999999.6508266330 16397.0575950429
384999999.6464483142 16499.5392049494
384999999.6420426965 16602.0208148547
384999999.6376098990 16704.5024247588
384999999.6331496835 16806.9840346618
384999999.6286622882 16909.4656445635
384999999.6241475940 17011.9472544641
384999999.6196056604 17114.4288643634
