Time[s] Mass[kg] Fuel[kg] FuelUsage[kg/s] Posx(t)[m] Posy(t)[m] Posz(t)[m] Velx(t)[m/s] Vely(t)[m/s] Velz(t)[m/s] EngineFx[N] EngineFy[N] EngineFz[N] NetFx[N] NetFy[N] NetFz[N] EKinx[J] EKiny[J] EKinz[J] EPotx[J] EPoty[J] EPotz[J] Method
0 9990 4990 10 30.01001001 20.00500501 10 0.02002002464 0.01001001257 3.44043227e-11 200 100 0 200.0000462 100.0000255 3.436991838e-07 100.0000231 50.00001277 1.718495919e-07 -0.007916243979 -0.007215641412 -0.0007433334879 3
1 9980 4980 10 30.04005008 20.02002504 10 0.04006010943 0.0200300552 6.880867987e-11 200 100 0 200.0000461 100.0000255 3.433554846e-07 199.899946 99.94997546 3.433553125e-07 -0.007916243979 -0.007215641412 -0.0007433334879 3
2 9970 4970 10 30.09014028 20.04507014 10 0.06012029459 0.03006014803 1.032130716e-10 200 100 0 200.0000461 100.0000255 3.430117854e-07 299.6996685 149.8498379 5.145171618e-07 -0.00790970481 -0.00720880142 -0.0007425894103 3
3 9960 4960 10 30.16030074 20.08015037 10 0.08020062051 0.04010031123 1.376174979e-10 200 100 0 200.0000461 100.0000255 3.426680862e-07 399.3990901 199.6995499 6.853351396e-07 -0.007904087438 -0.007202216044 -0.0007418453327 3
4 9950 4950 10 30.25055161 20.12527581 10 0.1003011277 0.05015056505 1.720219589e-10 200 100 0 200.0000461 100.0000255 3.42324387e-07 498.9981101 249.4990611 8.558092456e-07 -0.007899391644 -0.007195884906 -0.0007411012552 3
5 9940 4940 10 30.36091311 20.18045656 10 0.1204218566 0.06021092978 2.064264547e-10 200 100 0 200.0000461 100.0000254 3.419806878e-07 598.4966275 299.248321 1.02593948e-06 -0.007895617858 -0.007189807687 -0.0007403571776 3
6 9930 4930 10 30.49140546 20.24570273 10 0.1405628482 0.07028142579 2.408309853e-10 200 100 0 200.0000461 100.0000254 3.416369886e-07 697.8945412 348.9472791 1.195725842e-06 -0.007892767168 -0.007183984119 -0.0007396131 3
7 9920 4920 10 30.64204895 20.32102448 10 0.1607241432 0.08036207351 2.752355507e-10 200 100 0 200.0000461 100.0000254 3.412932895e-07 797.1917501 398.5958846 1.365168332e-06 -0.007890841322 -0.007178413988 -0.0007388690225 3
8 9910 4910 10 30.81286392 20.40643197 10 0.1809057825 0.09045289343 3.096401512e-10 200 100 0 200.0000462 100.0000254 3.409495903e-07 896.3881524 448.194087 1.534266949e-06 -0.007889842732 -0.007173097137 -0.0007381249449 3
9 9900 4900 10 31.00387071 20.50193537 10 0.2011078074 0.1005539061 3.440447866e-10 200 100 0 200.0000462 100.0000254 3.406058911e-07 995.4836466 497.7418352 1.703021694e-06 -0.007889774483 -0.007168033459 -0.0007373808673 3
