Time[s] Mass[kg] Fuel[kg] FuelUsage[kg/s] Posx(t)[m] Posy(t)[m] Posz(t)[m] Velx(t)[m/s] Vely(t)[m/s] Velz(t)[m/s] EngineFx[N] EngineFy[N] EngineFz[N] NetFx[N] NetFy[N] NetFz[N] EKinx[J] EKiny[J] EKinz[J] EPotx[J] EPoty[J] EPotz[J] Method
0 9999 499 10 0.0007500750075 0 0 0.00500050005 0 0 500 0 0 500 0 0 25 0 0 0 0 0 2
0.1 9998 498 10 0.002000275043 0 0 0.01000150025 0 0 500 0 0 500 0 0 49.99749975 0 0 0 0 0 2
0.2 9997 497 10 0.003750650135 0 0 0.0150030007 0 0 500 0 0 500 0 0 74.992499 0 0 0 0 0 2
0.3 9996 496 10 0.006001250325 0 0 0.0200050015 0 0 500 0 0 500 0 0 99.9849975 0 0 0 0 0 2
0.4 9995 495 10 0.008752125663 0 0 0.02500750275 0 0 500 0 0 500 0 0 124.974995 0 0 0 0 0 2
0.5 9994 494 10 0.01200332621 0 0 0.03001050455 0 0 500 0 0 500 0 0 149.9624912 0 0 0 0 0 2
0.6 9993 493 10 0.01575490203 0 0 0.035014007 0 0 500 0 0 500 0 0 174.947486 0 0 0 0 0 2
0.7 9992 492 10 0.02000690321 0 0 0.04001801021 0 0 500 0 0 500 0 0 199.929979 0 0 0 0 0 2
0.8 9991 491 10 0.02475937984 0 0 0.04502251426 0 0 500 0 0 500 0 0 224.90997 0 0 0 0 0 2
0.9 9990 490 10 0.03001238202 0 0 0.05002751927 0 0 500 0 0 500 0 0 249.8874587 0 0 0 0 0 2
1 9989 489 10 0.03576595985 0 0 0.05503302532 0 0 500 0 0 500 0 0 274.862445 0 0 0 0 0 2
1.1 9988 488 10 0.04202016347 0 0 0.06003903253 0 0 500 0 0 500 0 0 299.8349285 0 0 0 0 0 2
1.2 9987 487 10 0.04877504299 0 0 0.06504554099 0 0 500 0 0 500 0 0 324.8049089 0 0 0 0 0 2
1.3 9986 486 10 0.05603064856 0 0 0.07005255081 0 0 500 0 0 500 0 0 349.7723862 0 0 0 0 0 2
1.4 9985 485 10 0.06378703033 0 0 0.07506006207 0 0 500 0 0 500 0 0 374.7373599 0 0 0 0 0 2
1.5 9984 484 10 0.07204423846 0 0 0.08006807489 0 0 500 0 0 500 0 0 399.6998299 0 0 0 0 0 2
1.6 9983 483 10 0.08080232312 0 0 0.08507658937 0 0 500 0 0 500 0 0 424.6597958 0 0 0 0 0 2
1.7 9982 482 10 0.09006133449 0 0 0.0900856056 0 0 500 0 0 500 0 0 449.6172575 0 0 0 0 0 2
1.8 9981 481 10 0.09982132276 0 0 0.09509512368 0 0 500 0 0 500 0 0 474.5722147 0 0 0 0 0 2
1.9 9980 480 10 0.1100823381 0 0 0.1001051437 0 0 500 0 0 500 0 0 499.5246672 0 0 0 0 0 2
2 9979 479 10 0.1208444308 0 0 0.1051156658 0 0 500 0 0 500 0 0 524.4746146 0 0 0 0 0 2
2.1 9978 478 10 0.132107651 0 0 0.1101266901 0 0 500 0 0 500 0 0 549.4220568 0 0 0 0 0 2
2.2 9977 477 10 0.143872049 0 0 0.1151382166 0 0 500 0 0 500 0 0 574.3669934 0 0 0 0 0 2
2.3 9976 476 10 0.156137675 0 0 0.1201502455 0 0 500 0 0 500 0 0 599.3094243 0 0 0 0 0 2
2.4 9975 475 10 0.1689045793 0 0 0.1251627768 0 0 500 0 0 500 0 0 624.2493492 0 0 0 0 0 2
2.5 9974 474 10 0.182172812 0 0 0.1301758107 0 0 500 0 0 500 0 0 649.1867678 0 0 0 0 0 2
2.6 9973 473 10 0.1959424236 0 0 0.1351893472 0 0 500 0 0 500 0 0 674.1216799 0 0 0 0 0 2
2.7 9972 472 10 0.2102134642 0 0 0.1402033865 0 0 500 0 0 500 0 0 699.0540852 0 0 0 0 0 2
2.8 9971 471 10 0.2249859842 0 0 0.1452179287 0 0 500 0 0 500 0 0 723.9839835 0 0 0 0 0 2
2.9 9970 470 10 0.2402600338 0 0 0.1502329738 0 0 500 0 0 500 0 0 748.9113746 0 0 0 0 0 2
3 9969 469 10 0.2560356634 0 0 0.155248522 0 0 500 0 0 500 0 0 773.8362581 0 0 0 0 0 2
3.1 9968 468 10 0.2723129233 0 0 0.1602645734 0 0 500 0 0 500 0 0 798.7586338 0 0 0 0 0 2
3.2 9967 467 10 0.2890918639 0 0 0.165281128 0 0 500 0 0 500 0 0 823.6785015 0 0 0 0 0 2
3.3 9966 466 10 0.3063725354 0 0 0.170298186 0 0 500 0 0 500 0 0 848.595861 0 0 0 0 0 2
3.4 9965 465 10 0.3241549882 0 0 0.1753157475 0 0 500 0 0 500 0 0 873.5107119 0 0 0 0 0 2
3.5 9964 464 10 0.3424392727 0 0 0.1803338125 0 0 500 0 0 500 0 0 898.423054 0 0 0 0 0 2
3.6 9963 463 10 0.3612254393 0 0 0.1853523812 0 0 500 0 0 500 0 0 923.3328871 0 0 0 0 0 2
3.7 9962 462 10 0.3805135382 0 0 0.1903714537 0 0 500 0 0 500 0 0 948.2402109 0 0 0 0 0 2
3.8 9961 461 10 0.4003036201 0 0 0.1953910301 0 0 500 0 0 500 0 0 973.1450252 0 0 0 0 0 2
3.9 9960 460 10 0.4205957351 0 0 0.2004111104 0 0 500 0 0 500 0 0 998.0473297 0 0 0 0 0 2
4 9959 459 10 0.4413899338 0 0 0.2054316948 0 0 500 0 0 500 0 0 1022.947124 0 0 0 0 0 2
4.1 9958 458 10 0.4626862666 0 0 0.2104527833 0 0 500 0 0 500 0 0 1047.844408 0 0 0 0 0 2
4.2 9957 457 10 0.4844847838 0 0 0.2154743762 0 0 500 0 0 500 0 0 1072.739182 0 0 0 0 0 2
4.3 9956 456 10 0.506785536 0 0 0.2204964734 0 0 500 0 0 500 0 0 1097.631445 0 0 0 0 0 2
4.4 9955 455 10 0.5295885736 0 0 0.2255190751 0 0 500 0 0 500 0 0 1122.521196 0 0 0 0 0 2
4.5 9954 454 10 0.5528939471 0 0 0.2305421814 0 0 500 0 0 500 0 0 1147.408437 0 0 0 0 0 2
4.6 9953 453 10 0.5767017069 0 0 0.2355657924 0 0 500 0 0 500 0 0 1172.293166 0 0 0 0 0 2
4.7 9952 452 10 0.6010119035 0 0 0.2405899081 0 0 500 0 0 500 0 0 1197.175383 0 0 0 0 0 2
4.8 9951 451 10 0.6258245874 0 0 0.2456145288 0 0 500 0 0 500 0 0 1222.055088 0 0 0 0 0 2
4.9 9950 450 10 0.6511398091 0 0 0.2506396544 0 0 500 0 0 500 0 0 1246.932281 0 0 0 0 0 2
5 9949 449 10 0.6769576192 0 0 0.2556652851 0 0 500 0 0 500 0 0 1271.806961 0 0 0 0 0 2
5.1 9948 448 10 0.7032780681 0 0 0.260691421 0 0 500 0 0 500 0 0 1296.679128 0 0 0 0 0 2
5.2 9947 447 10 0.7301012064 0 0 0.2657180622 0 0 500 0 0 500 0 0 1321.548783 0 0 0 0 0 2
5.3 9946 446 10 0.7574270846 0 0 0.2707452088 0 0 500 0 0 500 0 0 1346.415923 0 0 0 0 0 2
5.4 9945 445 10 0.7852557533 0 0 0.2757728609 0 0 500 0 0 500 0 0 1371.280551 0 0 0 0 0 2
5.5 9944 444 10 0.813587263 0 0 0.2808010186 0 0 500 0 0 500 0 0 1396.142664 0 0 0 0 0 2
5.6 9943 443 10 0.8424216644 0 0 0.285829682 0 0 500 0 0 500 0 0 1421.002264 0 0 0 0 0 2
5.7 9942 442 10 0.8717590079 0 0 0.2908588512 0 0 500 0 0 500 0 0 1445.859349 0 0 0 0 0 2
5.8 9941 441 10 0.9015993443 0 0 0.2958885262 0 0 500 0 0 500 0 0 1470.71392 0 0 0 0 0 2
5.9 9940 440 10 0.9319427241 0 0 0.3009187073 0 0 500 0 0 500 0 0 1495.565975 0 0 0 0 0 2
6 9939 439 10 0.9627891979 0 0 0.3059493945 0 0 500 0 0 500 0 0 1520.415516 0 0 0 0 0 2
6.1 9938 438 10 0.9941388164 0 0 0.3109805879 0 0 500 0 0 500 0 0 1545.262541 0 0 0 0 0 2
6.2 9937 437 10 1.02599163 0 0 0.3160122876 0 0 500 0 0 500 0 0 1570.107051 0 0 0 0 0 2
6.3 9936 436 10 1.05834769 0 0 0.3210444937 0 0 500 0 0 500 0 0 1594.949045 0 0 0 0 0 2
6.4 9935 435 10 1.091207046 0 0 0.3260772064 0 0 500 0 0 500 0 0 1619.788523 0 0 0 0 0 2
6.5 9934 434 10 1.12456975 0 0 0.3311104256 0 0 500 0 0 500 0 0 1644.625484 0 0 0 0 0 2
6.6 9933 433 10 1.158435851 0 0 0.3361441516 0 0 500 0 0 500 0 0 1669.459929 0 0 0 0 0 2
6.7 9932 432 10 1.192805401 0 0 0.3411783844 0 0 500 0 0 500 0 0 1694.291857 0 0 0 0 0 2
6.8 9931 431 10 1.227678451 0 0 0.3462131241 0 0 500 0 0 500 0 0 1719.121268 0 0 0 0 0 2
6.9 9930 430 10 1.26305505 0 0 0.3512483708 0 0 500 0 0 500 0 0 1743.948161 0 0 0 0 0 2
7 9929 429 10 1.29893525 0 0 0.3562841247 0 0 500 0 0 500 0 0 1768.772537 0 0 0 0 0 2
7.1 9928 428 10 1.335319102 0 0 0.3613203857 0 0 500 0 0 500 0 0 1793.594395 0 0 0 0 0 2
7.2 9927 427 10 1.372206656 0 0 0.3663571541 0 0 500 0 0 500 0 0 1818.413735 0 0 0 0 0 2
7.3 9926 426 10 1.409597962 0 0 0.37139443 0 0 500 0 0 500 0 0 1843.230556 0 0 0 0 0 2
7.4 9925 425 10 1.447493073 0 0 0.3764322134 0 0 500 0 0 500 0 0 1868.044859 0 0 0 0 0 2
7.5 9924 424 10 1.485892038 0 0 0.3814705044 0 0 500 0 0 500 0 0 1892.856643 0 0 0 0 0 2
7.6 9923 423 10 1.524794908 0 0 0.3865093031 0 0 500 0 0 500 0 0 1917.665907 0 0 0 0 0 2
7.7 9922 422 10 1.564201734 0 0 0.3915486097 0 0 500 0 0 500 0 0 1942.472653 0 0 0 0 0 2
7.8 9921 421 10 1.604112568 0 0 0.3965884242 0 0 500 0 0 500 0 0 1967.276878 0 0 0 0 0 2
7.9 9920 420 10 1.644527458 0 0 0.4016287468 0 0 500 0 0 500 0 0 1992.078584 0 0 0 0 0 2
8 9919 419 10 1.685446458 0 0 0.4066695776 0 0 500 0 0 500 0 0 2016.87777 0 0 0 0 0 2
8.1 9918 418 10 1.726869616 0 0 0.4117109165 0 0 500 0 0 500 0 0 2041.674435 0 0 0 0 0 2
8.2 9917 417 10 1.768796985 0 0 0.4167527639 0 0 500 0 0 500 0 0 2066.46858 0 0 0 0 0 2
8.3 9916 416 10 1.811228615 0 0 0.4217951197 0 0 500 0 0 500 0 0 2091.260203 0 0 0 0 0 2
8.4 9915 415 10 1.854164556 0 0 0.426837984 0 0 500 0 0 500 0 0 2116.049306 0 0 0 0 0 2
8.5 9914 414 10 1.897604861 0 0 0.431881357 0 0 500 0 0 500 0 0 2140.835887 0 0 0 0 0 2
8.6 9913 413 10 1.941549579 0 0 0.4369252388 0 0 500 0 0 500 0 0 2165.619946 0 0 0 0 0 2
8.7 9912 412 10 1.985998761 0 0 0.4419696294 0 0 500 0 0 500 0 0 2190.401483 0 0 0 0 0 2
8.8 9911 411 10 2.030952459 0 0 0.447014529 0 0 500 0 0 500 0 0 2215.180499 0 0 0 0 0 2
8.9 9910 410 10 2.076410723 0 0 0.4520599377 0 0 500 0 0 500 0 0 2239.956991 0 0 0 0 0 2
9 9909 409 10 2.122373605 0 0 0.4571058556 0 0 500 0 0 500 0 0 2264.730961 0 0 0 0 0 2
9.1 9908 408 10 2.168841154 0 0 0.4621522827 0 0 500 0 0 500 0 0 2289.502408 0 0 0 0 0 2
9.2 9907 407 10 2.215813423 0 0 0.4671992192 0 0 500 0 0 500 0 0 2314.271332 0 0 0 0 0 2
9.3 9906 406 10 2.263290462 0 0 0.4722466652 0 0 500 0 0 500 0 0 2339.037733 0 0 0 0 0 2
9.4 9905 405 10 2.311272322 0 0 0.4772946208 0 0 500 0 0 500 0 0 2363.801609 0 0 0 0 0 2
9.5 9904 404 10 2.359759054 0 0 0.482343086 0 0 500 0 0 500 0 0 2388.562962 0 0 0 0 0 2
9.6 9903 403 10 2.408750708 0 0 0.4873920611 0 0 500 0 0 500 0 0 2413.321791 0 0 0 0 0 2
9.7 9902 402 10 2.458247337 0 0 0.492441546 0 0 500 0 0 500 0 0 2438.078094 0 0 0 0 0 2
9.8 9901 401 10 2.508248991 0 0 0.497491541 0 0 500 0 0 500 0 0 2462.831874 0 0 0 0 0 2
9.9 9900 400 10 2.558755721 0 0 0.502542046 0 0 500 0 0 500 0 0 2487.583128 0 0 0 0 0 2
10 9899 399 10 2.609767578 0 0 0.5075930613 0 0 500 0 0 500 0 0 2512.331857 0 0 0 0 0 2
