Time[s] Mass[kg] Fuel[kg] FuelUsage[kg/s] Posx(t)[m] Posy(t)[m] Posz(t)[m] Velx(t)[m/s] Vely(t)[m/s] Velz(t)[m/s] EngineFx[N] EngineFy[N] EngineFz[N] NetFx[N] NetFy[N] NetFz[N] EKinx[J] EKiny[J] EKinz[J] EPotx[J] EPoty[J] EPotz[J] Method
0 1000 0 0 15000 0 0 1000 0 0 0 0 0 -2.669036e-10 0 0 500000 0 0 -4.448393333e-07 0 0 3
10 1000 0 0 25000 0 0 1000 0 0 0 0 0 -2.965595556e-11 0 0 500000 0 0 -4.448393333e-07 0 0 3
20 1000 0 0 35000 0 0 1000 0 0 0 0 0 -1.0676144e-11 0 0 500000 0 0 -2.669036e-07 0 0 3
30 1000 0 0 45000 0 0 1000 0 0 0 0 0 -5.447012245e-12 0 0 500000 0 0 -1.906454286e-07 0 0 3
40 1000 0 0 55000 0 0 1000 0 0 0 0 0 -3.295106173e-12 0 0 500000 0 0 -1.482797778e-07 0 0 3
50 1000 0 0 65000 0 0 1000 0 0 0 0 0 -2.205814876e-12 0 0 500000 0 0 -1.213198182e-07 0 0 3
60 1000 0 0 75000 0 0 1000 0 0 0 0 0 -1.579311243e-12 0 0 500000 0 0 -1.026552308e-07 0 0 3
70 1000 0 0 85000 0 0 1000 0 0 0 0 0 -1.186238222e-12 0 0 500000 0 0 -8.896786667e-08 0 0 3
80 1000 0 0 95000 0 0 1000 0 0 0 0 0 -9.235418685e-13 0 0 500000 0 0 -7.850105882e-08 0 0 3
90 1000 0 0 105000 0 0 1000 0 0 0 0 0 -7.393451524e-13 0 0 500000 0 0 -7.023778947e-08 0 0 3
100 1000 0 0 115000 0 0 1000 0 0 0 0 0 -6.052235828e-13 0 0 500000 0 0 -6.354847619e-08 0 0 3
110 1000 0 0 125000 0 0 1000 0 0 0 0 0 -5.045436673e-13 0 0 500000 0 0 -5.802252174e-08 0 0 3
120 1000 0 0 135000 0 0 1000 0 0 0 0 0 -4.2704576e-13 0 0 500000 0 0 -5.338072e-08 0 0 3
130 1000 0 0 145000 0 0 1000 0 0 0 0 0 -3.661229081e-13 0 0 500000 0 0 -4.942659259e-08 0 0 3
140 1000 0 0 155000 0 0 1000 0 0 0 0 0 -3.17364566e-13 0 0 500000 0 0 -4.601786207e-08 0 0 3
150 1000 0 0 165000 0 0 1000 0 0 0 0 0 -2.777352758e-13 0 0 500000 0 0 -4.304896774e-08 0 0 3
160 1000 0 0 175000 0 0 1000 0 0 0 0 0 -2.450905418e-13 0 0 500000 0 0 -4.043993939e-08 0 0 3
