Time[s] Mass[kg] Fuel[kg] FuelUsage[kg/s] Posx(t)[m] Posy(t)[m] Posz(t)[m] Velx(t)[m/s] Vely(t)[m/s] Velz(t)[m/s] EngineFx[N] EngineFy[N] EngineFz[N] NetFx[N] NetFy[N] NetFz[N] EKinx[J] EKiny[J] EKinz[J] EPotx[J] EPoty[J] EPotz[J]
0 15000 5000 10 100 100 100 10 10 10 0 0 0 0 0 0 75000 75000 75000 -3.698037647e-05 -3.70248609e-05 -2.499781523e-05
1 15000 5000 10 110 110 110 10 10 10 0 0 0 3.284576022e-09 3.287541684e-09 1.248702116e-09 75000 75000 75000 -3.698037647e-05 -3.70248609e-05 -2.499781523e-05
2 15000 5000 10 120 120 120 10 10 10 0 0 0 3.290627834e-09 3.293890077e-09 1.248471559e-09 75000 75000 75000 -3.700883506e-05 -3.705776804e-05 -2.499544418e-05
3 15000 5000 10 130 130 130 10 10 10 0 0 0 3.296698623e-09 3.300257451e-09 1.248242871e-09 75000 75000 75000 -3.703735719e-05 -3.709073876e-05 -2.49930856e-05
4 15000 5000 10 140 140 140 10 10 10 0 0 0 3.302788465e-09 3.306643884e-09 1.248016052e-09 75000 75000 75000 -3.706594306e-05 -3.712377326e-05 -2.499073948e-05
5 15000 5000 10 150 150 150 10 10 10 0 0 0 3.308897436e-09 3.313049451e-09 1.2477911e-09 75000 75000 75000 -3.709459284e-05 -3.715687171e-05 -2.498840583e-05
6 15000 5000 10 160 160 160 10 10 10 0 0 0 3.315025615e-09 3.319474231e-09 1.247568016e-09 75000 75000 75000 -3.712330674e-05 -3.719003431e-05 -2.498608465e-05
7 15000 5000 10 170 170 170 10 10 10 0 0 0 3.321173078e-09 3.325918301e-09 1.247346797e-09 75000 75000 75000 -3.715208494e-05 -3.722326126e-05 -2.498377592e-05
8 15000 5000 10 180 180 180 10 10 10 0 0 0 3.327339903e-09 3.332381739e-09 1.247127445e-09 75000 75000 75000 -3.718092762e-05 -3.725655274e-05 -2.498147965e-05
9 15000 5000 10 190 190 190 10 10 10 0 0 0 3.333526167e-09 3.338864623e-09 1.246909958e-09 75000 75000 75000 -3.720983499e-05 -3.728990895e-05 -2.497919583e-05
10 14990 4990 10 200.0066711 200.0066711 199.9933289 10.00667111 10.00667111 9.993328886 100 100 -100 100 100 -100 75000 75000 74900 -3.723880723e-05 -3.73233301e-05 -2.497692446e-05
11 14980 4980 10 210.0200178 210.0200178 209.9799822 10.01334668 10.01334668 9.986653319 100 100 -100 100 100 -100 74999.96664 74999.96664 74800.03336 -3.724301869e-05 -3.733193416e-05 -2.495801727e-05
12 14970 4970 10 220.0400445 220.0400445 219.9599555 10.02002671 10.02002671 9.979973292 100 100 -100 100 100 -100 74999.89991 74999.89991 74700.10009 -3.724727609e-05 -3.734058126e-05 -2.493912698e-05
13 14960 4960 10 230.0667557 230.0667557 229.9332443 10.0267112 10.0267112 9.9732888 100 100 -100 100 100 -100 74999.79978 74999.79978 74600.20022 -3.725157959e-05 -3.734927155e-05 -2.492025356e-05
14 14950 4950 10 240.1001559 240.1001559 239.8998441 10.03340016 10.03340016 9.966599837 100 100 -100 100 100 -100 74999.66622 74999.66622 74500.33378 -3.725592938e-05 -3.735800521e-05 -2.490139694e-05
15 14940 4940 10 250.1402495 250.1402495 249.8597505 10.0400936 10.0400936 9.959906396 100 100 -100 100 100 -100 74999.49922 74999.49922 74400.50078 -3.726032562e-05 -3.736678241e-05 -2.488255707e-05
16 14930 4930 10 260.187041 260.187041 259.812959 10.04679153 10.04679153 9.953208473 100 100 -100 100 100 -100 74999.29875 74999.29875 74300.70125 -3.726476848e-05 -3.737560331e-05 -2.486373389e-05
17 14920 4920 10 270.2405349 270.2405349 269.7594651 10.05349394 10.05349394 9.94650606 100 100 -100 100 100 -100 74999.0648 74999.0648 74200.93521 -3.726925813e-05 -3.73844681e-05 -2.484492736e-05
18 14910 4910 10 280.3007358 280.3007358 279.6992642 10.06020085 10.06020085 9.939799152 100 100 -100 100 100 -100 74998.79733 74998.79733 74101.20267 -3.727379475e-05 -3.739337693e-05 -2.482613742e-05
19 14900 4900 10 290.367648 290.367648 289.632352 10.06691226 10.06691226 9.933087742 100 100 -100 100 100 -100 74998.49632 74998.49632 74001.50368 -3.727837851e-05 -3.740232999e-05 -2.480736401e-05
20 14890 4890 10 300.4412762 300.4412762 299.5587238 10.07362817 10.07362817 9.926371825 100 100 -100 100 100 -100 74998.16176 74998.16176 73901.83824 -3.728300959e-05 -3.741132745e-05 -2.478860708e-05
21 14880 4880 10 310.5216248 310.5216248 309.4783752 10.0803486 10.0803486 9.919651395 100 100 -100 100 100 -100 74997.79362 74997.79362 73802.20638 -3.728768816e-05 -3.742036948e-05 -2.476986657e-05
22 14870 4870 10 320.6086984 320.6086984 319.3913016 10.08707355 10.08707355 9.912926446 100 100 -100 100 100 -100 74997.39188 74997.39188 73702.60812 -3.72924144e-05 -3.742945626e-05 -2.475114244e-05
23 14860 4860 10 330.7025014 330.7025014 329.2974986 10.09380303 10.09380303 9.906196971 100 100 -100 100 100 -100 74996.95651 74996.95651 73603.04349 -3.729718849e-05 -3.743858797e-05 -2.473243462e-05
24 14850 4850 10 340.8030384 340.8030384 339.1969616 10.10053704 10.10053704 9.899462964 100 100 -100 100 100 -100 74996.48749 74996.48749 73503.51251 -3.730201061e-05 -3.744776478e-05 -2.471374307e-05
25 14840 4840 10 350.910314 350.910314 349.089686 10.10727558 10.10727558 9.892724419 100 100 -100 100 100 -100 74995.98481 74995.98481 73404.01519 -3.730688094e-05 -3.745698688e-05 -2.469506774e-05
26 14830 4830 10 361.0243327 361.0243327 358.9756673 10.11401867 10.11401867 9.885981331 100 100 -100 100 100 -100 74995.44843 74995.44843 73304.55157 -3.731179966e-05 -3.746625445e-05 -2.467640856e-05
